"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YLR131C",37.3111400840741,-0.0226615107757541,0.310809592372492,0.93409090912237,0.962257745792961
"YLR132C",11.5829584952856,0.0934773452007574,0.382231311605979,0.764686384920915,0.851164462548834
"YLR133W",119.799805216624,-0.109329945931717,0.214761191231796,0.589982763236406,0.719979747464602
"YLR134W",547.760155584117,-1.08148467587977,0.22963338552692,3.959582480989e-07,4.06047236619395e-06
"YLR135W",43.7369922840745,-0.114990194651946,0.292369470888359,0.660612584421157,0.774674627274078
"YLR136C",19.0970973529813,0.926522859348719,0.346038635829108,0.0015916202598352,0.0062515779724543
"YLR137W",22.0501480101603,0.0994989234716248,0.324452213561627,0.724627219726341,0.820564567953745
"YLR138W",225.1449658097,-0.605002096578565,0.231798587607936,0.0052058494802115,0.0171658650649398
"YLR139C",24.163055079848,-0.650741726589324,0.329132114248556,0.0223350224495493,0.0581740212382765
"YLR141W",19.2107113127991,0.176648810399839,0.356180248840763,0.556079315899694,0.692271622929365
"YLR142W",2584.56777633272,-0.988302565990899,0.130873045022286,1.11031862981627e-14,3.64482249653655e-13
"YLR143W",31.1800778059502,-0.260108900240057,0.279572766513032,0.30386136857687,0.448615427577309
"YLR144C",70.9090093836296,-0.405731207744032,0.257170173592029,0.0862328821977558,0.171822453643273
"YLR145W",25.1247038536904,0.397548727801218,0.32907030329893,0.163224780751611,0.281593896563848
"YLR146C",30.7368911004705,0.202498715910883,0.320314770044647,0.469437500524402,0.614231574547615
"YLR146W-A",31.7031695324036,1.43578012079581,0.415426373411298,1.00967883355514e-05,7.54818425695933e-05
"YLR147C",33.4476291813367,0.44911530796561,0.322742281284666,0.110362799648149,0.208854045324484
"YLR148W",81.7752752478327,-0.237996068569627,0.262961686932171,0.323220928807889,0.469065492140072
"YLR149C",262.295205930939,-0.713906123807365,0.176361028943894,2.55773322614206e-05,0.000172156247844338
"YLR150W",297.757342766574,0.619361494920857,0.191202977343745,0.000697096544106763,0.00308676661128209
"YLR151C",19.9106240850538,0.232427445915689,0.321330671214788,0.407391536161286,0.554641488990667
"YLR152C",153.17866107059,-1.28618188963885,0.197489106679238,4.69959600634345e-12,1.0892475047619e-10
"YLR153C",496.415477565356,-0.234797666254963,0.271225860499442,0.341803428338925,0.489982177340698
"YLR154C",28.023336473705,0.645693290286458,0.329662583286527,0.0235552138198656,0.0608665067746395
"YLR154W-C",668283.377023017,-0.206534670832371,0.232559383465764,0.342139254343548,0.490343965493338
"YLR157C-C",5098.06486137067,3.62545257915435,0.363584764445079,3.75115701471676e-25,3.10447867865855e-23
"YLR162W",6.64105840937851,-0.133615608509513,0.552948616014574,0.684091416288079,0.792028693413335
"YLR162W-A",19.6731467647812,-0.225335351564442,0.436639830801924,0.495635111101744,0.638393667872392
"YLR163C",163.98036290451,-0.262057886871674,0.176904814768642,0.123842593833315,0.228770451875165
"YLR164W",44.3015127739523,-2.68500506786564,0.37300421666459,1.33674640074463e-15,4.84859373504656e-14
"YLR165C",29.177574623028,-0.111572050433379,0.318774520051514,0.689224771917283,0.796020344191737
"YLR166C",89.3162607716353,-0.525572910608835,0.264660959357025,0.0298521420068828,0.0737021791732956
"YLR167W",1063.98681666215,0.930617637669284,0.197116549189544,6.66674048431596e-07,6.52896118097343e-06
"YLR168C",297.048834260584,1.72095482589607,0.263314824635298,1.85160045380085e-13,5.0841141432401e-12
"YLR170C",69.6802484826786,0.262646189868891,0.230108894646807,0.222783355026793,0.356404844578664
"YLR172C",61.6386735598853,0.716906504594715,0.225191016541546,0.000680844187730493,0.00302839934703787
"YLR173W",36.7597735384037,-1.33547260090953,0.292658746528019,1.99365037542307e-07,2.16537700665175e-06
"YLR174W",218.174067164032,2.70668380471925,0.302358056196249,1.13052360014139e-21,7.14296416605462e-20
"YLR175W",138.381043569373,0.696730236106672,0.328079593475709,0.0141872287315068,0.0399828086457238
"YLR176C",59.8129161312612,-0.109527516550094,0.272352460527597,0.658544573967792,0.773148434892057
"YLR177W",245.552840933837,-0.742557246494731,0.214566720215917,0.000241689372797137,0.00122785698293487
"YLR178C",902.728614310868,-1.6268927862398,0.242852950487276,1.18795737917438e-13,3.2926592264286e-12
"YLR179C",202.314475222709,0.837025411810862,0.19523285986809,6.65969632254435e-06,5.23160101487575e-05
"YLR180W",44.8970289123706,0.385594345488663,0.266538275325748,0.113285994259662,0.213423694219228
"YLR181C",46.0222578607194,-0.136036917547257,0.295229304016565,0.606113411612622,0.732936767951482
"YLR182W",90.0697451311488,0.0643191827276841,0.25855992248709,0.786672060803405,0.867272725972966
