"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR023W",230.384549560682,-0.0521290962160351,0.226142492708342,7.19698909307655,0.0273648880184891,0.0438853935580354
"YDR025W",202.764683205209,0.431000887004945,0.205057415934603,24.1566181626985,5.68142156311089e-06,2.00144083362348e-05
"YDR026C",109.466421995895,-0.304502598629783,0.36111837738027,1.99959904089644,0.367953200870326,0.424605853950125
"YDR027C",158.158146253538,-0.336112579472336,0.181338372036393,17.8503634711004,0.000132997299354996,0.000367242542767836
"YDR028C",364.469294869824,0.0496517385781716,0.2587853446937,5.86781347136996,0.0531888369890535,0.0794048796106907
"YDR029W",78.1697114398004,2.11517280179003,0.370601521172484,50.4147512318371,1.12869309128967e-11,8.703675333882e-11
"YDR030C",135.845139622009,-0.0874233905586293,0.247047417490143,4.01088348674831,0.134600823538803,0.1792083062534
"YDR031W",119.662443485857,1.38599235102464,0.263639815620998,27.2474762931331,1.21139478594335e-06,4.77408166479082e-06
"YDR032C",292.226348646811,1.15708917060545,0.188717504154703,73.7116084375733,9.85661065055951e-17,1.26734013528857e-15
"YDR033W",1298.38519645072,-0.745293049574013,0.229747104669588,67.5008237434229,2.1997957677172e-15,2.50990289924393e-14
"YDR034C",353.00534312274,0.69776354098058,0.198793854556428,13.7294449674409,0.00104397213162847,0.00237398616309941
"YDR034W-B",8.71871146064194,2.55548500110028,0.710120957963712,14.1571498698265,0.000842973585050302,0.00194935568113167
"YDR035W",246.530366543346,-0.395351549332863,0.17359259296537,18.1678019726305,0.000113478066511137,0.000318848120127181
"YDR036C",134.012223613408,0.162783146410257,0.205291195440644,5.84817306587422,0.0537137352375532,0.0800664404504979
"YDR037W",345.882378659325,0.0319621997219292,0.180085334935862,1.60114646840958,0.449071467195859,0.504058059454225
"YDR038C",65.6028345804003,-0.0270175293113597,0.312159918241599,1.7767401019823,0.411325646487527,0.46713364877478
"YDR040C",43.111562625154,0.60555839617138,0.394200491812066,5.96390035475584,0.0506938753540226,0.0761639508003674
