"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL029C",194.428224537618,-0.696929859685207,0.20894333299651,0.00042639387760798,0.00199481721721695
"YAL030W",86.7345057691034,-0.0765785828136602,0.219628139796004,0.712034025833502,0.801515696512961
"YAL031C",87.9989584249439,-0.418138852148484,0.251408278790778,0.0725396737098012,0.141750290229063
"YAL032C",38.4320329801232,-0.862314486962405,0.303581012667419,0.00141980173778962,0.00558417336763844
"YAL033W",17.9957812618876,-0.782523470456672,0.393231594340095,0.0160314411350809,0.0416081042887524
"YAL034C",208.29529495366,1.47876412168256,0.254801034046929,2.8850289823057e-10,5.23223157408281e-09
"YAL034W-A",11.1045113790244,-0.340899531754889,0.414675510900567,0.307139103206949,0.438791483210317
"YAL035W",394.538829153612,0.166396359349849,0.264915756550059,0.494435317204179,0.619711656446516
"YAL036C",34.3456356104086,-1.14826605062505,0.323319190156595,5.10484783248843e-05,0.000310032562642498
"YAL037W",13.5073309131647,-0.391519823306494,0.490368360829326,0.276311962175687,0.404285131908451
"YAL038W",2238.33586358711,-1.33629451902875,0.182355440127413,1.76869478503943e-14,6.0776903841472e-13
"YAL039C",72.5284660389179,0.291873906479439,0.231584972424454,0.1789965285588,0.288396929479437
"YAL040C",48.016578192399,-1.45198283560744,0.369364024350547,3.89626861140864e-06,3.1709798283431e-05
"YAL041W",57.3943355968083,-0.767117499741855,0.284262157239162,0.00281684000028418,0.00999501922806149
"YAL042W",68.9349604974556,-0.285518055902018,0.253382067960218,0.223518549701706,0.344460068150777
"YAL043C",30.5026971030567,-0.600363867828112,0.364306256659382,0.0520259494476921,0.108342372182473
"YAL044C",130.038736721873,0.672325931299949,0.191085514020581,0.000230788411591035,0.0011761601964518
"YAL044W-A",47.463518318768,0.208525392795273,0.293644044149309,0.430507184067457,0.56114911570106
"YAL046C",27.2183558980347,-0.695931355423042,0.347810298404661,0.0200520486047138,0.0498797402517048
"YAL047C",21.0473072407613,0.167024059087,0.3907468121454,0.60457762244257,0.714120487595255
"YAL048C",31.6393543183452,-0.688686146194082,0.356934820203475,0.0238190867160177,0.057323133505332
"YAL049C",241.221224269256,-0.344322037838065,0.186203236407243,0.0539600552531524,0.111487090248778
"YAL051W",106.640324387581,0.0331969000886625,0.212179834127651,0.86895704875116,0.915052261373086
"YAL053W",171.53497802397,-0.866494667649232,0.255089791699009,0.000223161731914134,0.00114390510117393
"YAL054C",111.831095269414,0.184975538167422,0.252186707086235,0.428683919194755,0.559765935375195
"YAL055W",39.3389005686706,0.237483976362003,0.379226351187288,0.453590529956551,0.582493341408275
"YAL056W",220.077086049605,-0.883102381638436,0.242387463414103,8.53537214984694e-05,0.00048882891571638
"YAL058W",21.2829749355653,-0.867155742575381,0.466274684379081,0.0157338473224337,0.0409987081448427
"YAL059W",26.3067287697405,-0.787262287391637,0.370964545201258,0.0118461700085671,0.0329896184693555
"YAL060W",301.352575861245,1.77671653435066,0.25761360436899,8.97680901647888e-14,2.83589945058225e-12
"YAL061W",163.312556415836,0.584294331692833,0.204861854205898,0.00266978959733054,0.00954819456720284
"YAL062W",69.8642759443466,-0.263690549157327,0.264323357408006,0.277858381090553,0.406143245594052
